type,name,bloat,waste
table,public.questions,3.4,152 kB
table,public.questions_unique_question_category_difficulty,5.0,96 kB
index,public.questions::questions_unique_question_category_difficulty,1.9,56 kB
table,public.matches,1.3,56 kB
table,public.question_translations,1.4,48 kB
index,public.scores::idx_scores_user_points_created_at,2.0,8192 bytes
index,public.scores::scores_pkey,2.0,8192 bytes
table,public.matches_code_key,2.0,8192 bytes
index,public.scores::idx_scores_user_id,2.0,8192 bytes
index,public.users::users_pkey,2.0,8192 bytes
index,public.users::users_email_key,2.0,8192 bytes
table,public.scores,2.0,8192 bytes
index,public.scores::idx_scores_points_created_at,2.0,8192 bytes
table,public.client_logs,1.0,0 bytes
table,public.users,1.0,0 bytes
index,public.matches::matches_questions_gin,0.9,0 bytes
index,public.questions::questions_pkey,0.9,0 bytes
index,public.questions::questions_slug_unique,0.8,0 bytes
index,public.question_translations::question_translations_unique,0.7,0 bytes
index,public.question_translations::question_translations_pkey,0.6,0 bytes
index,public.question_translations::idx_question_translations_question,0.5,0 bytes
index,public.questions::idx_questions_difficulty_category,0.3,0 bytes
index,public.client_logs::client_logs_pkey,0.3,0 bytes
index,public.client_logs::client_logs_user_id_idx,0.3,0 bytes
index,public.questions::idx_questions_category,0.3,0 bytes
index,public.questions::idx_questions_difficulty,0.3,0 bytes
index,public.client_logs::client_logs_created_at_idx,0.3,0 bytes
index,public.questions::questions_difficulty_idx,0.3,0 bytes
index,public.question_translations::idx_question_translations_language,0.2,0 bytes
index,public.matches::matches_waiting_lookup_idx,0.1,0 bytes
index,public.matches::matches_status_idx,0.1,0 bytes
index,public.matches::matches_status_created_idx,0.1,0 bytes
index,public.matches::matches_pkey,0.1,0 bytes
index,public.matches::matches_host_id_idx,0.1,0 bytes
index,public.matches::matches_guest_id_idx,0.1,0 bytes
index,public.matches::matches_code_unique_idx,0.1,0 bytes
index,public.matches::matches_code_key,0.1,0 bytes
index,public.matches::idx_matches_category,0.1,0 bytes
