name,size,percent_used,index_scans,seq_scans,unused
public.matches_questions_gin,184 kB,0%,0,0,t
public.questions_unique_question_category_difficulty,120 kB,100%,54,0,f
public.question_translations_unique,72 kB,100%,92614,0,f
public.question_translations_pkey,64 kB,0%,0,0,t
public.questions_pkey,56 kB,100%,4915,0,f
public.idx_question_translations_question,56 kB,100%,83346,0,f
public.questions_slug_unique,48 kB,100%,17,0,f
public.client_logs_pkey,16 kB,100%,1,0,f
public.matches_code_key,16 kB,0%,0,0,t
public.matches_code_unique_idx,16 kB,100%,9,0,f
public.idx_friendships_users_unique,16 kB,100%,13565,0,f
public.idx_questions_difficulty_category,16 kB,100%,1,0,f
public.idx_scores_user_id,16 kB,0%,0,0,t
public.matches_status_idx,16 kB,100%,1171,0,f
public.matches_guest_id_idx,16 kB,100%,2,0,f
public.users_email_key,16 kB,0%,0,0,t
public.idx_scores_user_points_created_at,16 kB,100%,8,0,f
public.profiles_pkey,16 kB,100%,1015,0,f
public.client_logs_created_at_idx,16 kB,0%,0,0,t
public.idx_questions_category,16 kB,100%,29,0,f
public.questions_difficulty_idx,16 kB,0%,0,0,t
public.idx_question_translations_language,16 kB,100%,1,0,f
public.client_logs_user_id_idx,16 kB,0%,0,0,t
public.idx_matches_category,16 kB,0%,0,0,t
public.profiles_friend_code_key,16 kB,100%,135,0,f
public.matches_waiting_lookup_idx,16 kB,100%,968,0,f
public.matches_pkey,16 kB,100%,4196,0,f
public.users_pkey,16 kB,100%,14,0,f
public.idx_scores_points_created_at,16 kB,0%,0,0,t
public.scores_pkey,16 kB,100%,118,0,f
public.friendships_pkey,16 kB,100%,9,0,f
public.matches_host_id_idx,16 kB,0%,0,0,t
public.matches_status_created_idx,16 kB,100%,299,0,f
public.idx_questions_difficulty,16 kB,100%,1454,0,f
public.lobby_invites_match_recipient_key,8192 bytes,0%,0,0,t
public.lobby_invites_pkey,8192 bytes,100%,1,0,f
public.idx_match_results_match,8192 bytes,0%,0,0,t
public.lobby_invites_recipient_idx,8192 bytes,100%,1428,0,f
public.idx_match_results_user_id,8192 bytes,0%,0,0,t
public.match_results_pkey,8192 bytes,100%,1,0,f
public.friends_table_pkey,8192 bytes,100%,2,0,f
public.friends_table_owner_id_idx,8192 bytes,0%,0,0,t
public.lobby_invites_sender_idx,8192 bytes,0%,0,0,t
